inf-norm-min-adv-dist;inf-norm-PGD-dist;inf-norm-sec-att-dist;;inf-norm-Clever-5-samples;;inf-norm-Clever-20-samples;;inf-norm-Clever-100-samples;;inf-norm-Clever-1024-samples;2-norm-min-adv-dist;2-norm-PGD-dist;2-norm-sec-att-dist;;2-norm-Clever-5-samples;;2-norm-Clever-20-samples;;2-norm-Clever-100-samples;;2-norm-Clever-1024-samples;1-norm-min-adv-dist;1-norm-PGD-dist;1-norm-sec-att-dist;1-norm-Clever-5-samples;1-norm-Clever-20-samples;1-norm-Clever-100-samples;;1-norm-Clever-1024-samples
0,0033000559;0,0033000559;0,0125599653;0;0,0021;0;0,002;0;0,0019;0;0,0019;0,1088;0,1152;0,1088;0;0,0047;0;0,0014;0;0,1032;0;0,0752;2,1578;2,9916;2,1578;0,0012;0,0054;0,007;0;0,0655
0,0033000559;0,0033000559;0,0154857039;1;0,0055;1;0,0045;1;0,0037;0;0,003;0,1094;0,1094;0,1095;0;0,0008;0;0,001;0;0,0012;0;0,0021;2,1705;6,5601;2,1705;1,2301;0,0146;0,707;0;0,0066
0,0033005476;0,0033005476;0,015728116;1;0,0035;0;0,0029;0;0,0027;0;0,0026;0,1095;0,1095;0,1121;0;0,093;0;0,0983;0;0,0911;0;0,0918;2,1828;3,571;2,1828;0,0022;0,0007;0,0042;0;0,0022
0,0033005476;0,0033005476;0,0187096;0;0,003;1;0,0043;0;0,0032;0;0,0029;0,1121;0,1171;0,1121;0;0,1096;0;0,0781;0;0,0784;0;0,0722;2,2129;6,9142;2,2129;4,4877;0,0122;0,0097;0;0,0026
0,0036000609;0,0036000609;0,0133049488;0;0,0032;0;0,0027;0;0,0025;0;0,0025;0,1139;0,1139;0,142;0;0,0017;0;0,0866;0;0,0848;0;0,0778;2,2672;4,029;2,2672;0,0108;0,008;0,0017;0;0,0023
0,0036000609;0,0036000609;0,0186776668;0;0,0031;0;0,0032;0;0,0022;0;0,0019;0,1142;0,1181;0,1142;0;0,005;0;0,0035;0;0,0011;0;0,0085;2,2827;4,0407;2,2827;1,7516;0,0099;0,0026;0;0,0036
0,0036000609;0,0036000609;0,0142805129;0;0,0032;0;0,0031;0;0,003;0;0,0026;0,1142;0,1142;0,1328;0;0,0102;0;0,0044;0;0,0015;0;0,0114;2,3107;4,9259;2,3107;0,0236;0,0129;0,0071;0;0,0002
0,0036000609;0,0036000609;0,0167759657;1;0,006;0;0,0036;0;0,0029;0;0,0025;0,1183;0,1211;0,1183;0;0,0066;0;0,0022;0;0,0029;0;0,069;2,368;3,7426;2,368;0,0024;0,5072;0,4461;0;0,0244
0,0036000609;0,0036000609;0,0169080496;0;0,003;0;0,0029;0;0,0028;0;0,0027;0,119;0,119;0,1269;0;0,0023;0;0,002;0;0,0031;0;0,0006;2,4016;2,7822;2,4016;0,0039;0,0032;0,0017;0;0,0044
0,0036000609;0,0036000609;0,0126636624;0;0,0027;0;0,0024;0;0,0024;0;0,0023;0,1193;0,1193;0,1332;0;0,0053;0;0,0015;0;0,0016;0;0,0234;2,4069;4,5005;2,4069;0,0048;0,0014;0,0009;0;0,0031
0,003900066;0,003900066;0,0139621794;1;0,0044;0;0,0027;0;0,0019;0;0,0016;0,1194;0,1194;0,1289;0;0,004;0;0,1057;0;0,005;0;0,095;2,4332;5,6745;2,4332;3,6059;0,0047;0,0019;0;0,0025
0,003900066;0,003900066;0,0199176967;0;0,0038;0;0,0036;0;0,003;0;0,0028;0,1225;0,1561;0,1225;0;0,0037;0;0,0061;0;0,0006;0;0,0049;2,4606;5,8021;2,4606;0,0036;2,6161;0,0069;0;0,0039
0,003900066;0,003900066;0,0185171962;1;0,0051;1;0,0045;0;0,0038;0;0,0035;0,1238;0,1361;0,1238;0;0,0007;0;0,0014;0;0,0018;0;0,0012;2,4637;5,0995;2,4637;2,1351;1,7239;0,0017;0;0,0043
0,003900066;0,003900066;0,018491298;0;0,0035;0;0,0035;0;0,0031;0;0,0029;0,1245;0,1245;0,1595;0;0,003;0;0,0007;0;0,0009;0;0,0007;2,5206;5,7394;2,5206;0,0078;1,4568;0,1831;0;0,0068
0,003900066;0,003900066;0,0166375041;0;0,0032;0;0,0026;0;0,0021;0;0,0019;0,1251;0,1634;0,1251;0;0,0102;0;0,0148;0;0,0007;0;0,0003;2,6073;4,1214;2,6073;0,0022;0,0049;0,0047;0;0,0027
0,003900066;0,003900066;0,0150384605;0;0,0035;0;0,0034;0;0,0027;0;0,0027;0,1311;0,2271;0,1311;1;0,3044;0;0,0042;0;0,0025;0;0,0005;2,6263;3,9693;2,6263;0,8638;0,0112;0,0168;0;0,6514
0,0039006472;0,0039006472;0,017436415;0;0,0029;0;0,0033;0;0,0027;0;0,0022;0,132;0,1405;0,132;0;0,0142;0;0,0043;0;0,0019;1;0,2748;2,6599;5,2746;2,6599;0,0015;0,0031;0,0025;0;0,0019
0,0042000711;0,0042000711;0,0181720853;1;0,005;1;0,0043;0;0,0033;0;0,003;0,1321;0,1321;0,1518;0;0,004;0;0,0033;0;0,0006;0;0,0006;2,6995;7,9161;2,6995;4,0794;3,4235;3,4118;1;3,1433
0,0042000711;0,0042000711;0,016783908;0;0,0041;0;0,0037;0;0,0034;0;0,0032;0,1333;0,1394;0,1333;0;0,0038;0;0,0084;0;0,0835;0;0,0035;2,707;4,1703;2,707;0,0016;0,003;0,6772;0;0,0076
0,0042000711;0,0042000711;0,0153322667;0;0,0028;0;0,0031;0;0,0023;0;0,002;0,1375;0,1375;0,1477;0;0,0023;0;0,0025;0;0,0025;0;0,0014;2,7181;5,5311;2,7181;0,0104;0,0087;0,0252;0;1,1303
0,0042000711;0,0042000711;0,0177090615;1;0,0058;1;0,0048;0;0,0031;0;0,0025;0,1379;0,1379;0,1399;0;0,0018;0;0,123;0;0,1057;0;0,103;2,7287;4,3701;2,7287;0,0055;0,0033;0,0018;0;0,0052
0,0042000711;0,0042000711;0,014711678;1;0,0061;0;0,0028;0;0,0021;0;0,002;0,1381;0,1478;0,1381;0;0,0046;0;0,0016;0;0,0013;0;0,0006;2,7861;3,9761;2,7861;0,0025;0,0047;0,421;0;0,0068
